"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","LL Squares","CC LL Squares","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 50 MHz","50 MHz","1","0","9A6A","JN83MM","0","0","6799720","129","","","","0,0 %","72","0,8 %","0,0 %","0,0 %","G8BCG","1832","0","PWR(W): 300","TRX:","Ant: 5 el Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","2","0","SO6OO","JO81MM","0","0","854422","47","","","","0,0 %","16","1,2 %","0,0 %","0,0 %","GM4VVX","1594","0","PWR(W): 100","TRX:","Ant: SO6OO 7el portable yagi","ASL(m):","",
"SO 50 MHz","50 MHz","3","0","SF6F","JO67MM","0","0","707668","43","","","","0,0 %","13","0,6 %","0,0 %","0,0 %","9A6A","1582","0","PWR(W): 150","TRX:","Ant: 2x7 elements","ASL(m):","",
"SO 50 MHz","50 MHz","4","0","DH8BQA","JO73MM","0","0","505024","42","","","","0,0 %","11","1,1 %","0,0 %","0,0 %","G8BCG","1404","0","PWR(W): 600","TRX:","Ant: 8 ele YU1CF Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","5","0","DK2OY","JO44MM","0","0","82950","17","","","","0,0 %","1","0,6 %","0,0 %","0,0 %","G8BCG","1045","0","PWR(W): 100","TRX:","Ant: 5 el Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","6","0","E7AR","JN94MM","0","0","75894","20","","","","0,0 %","6","1,2 %","0,0 %","0,0 %","OZ1ADL","1507","0","PWR(W): 90","TRX:","Ant: 5 el YU7EF yagi","ASL(m):","",
"SO 50 MHz","50 MHz","7","0","I4JEE","JN54MM","0","0","53220","26","","","","0,0 %","6","1,7 %","0,0 %","0,0 %","9A6A","493","0","PWR(W): 70","TRX:","Ant: 3ELM-MOSLEY","ASL(m):","",
"SO 50 MHz","50 MHz","8","0","9A2VX","JN75MM","0","0","11160","6","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","I0WTD","474","0","PWR(W): 50","TRX:","Ant: dipol","ASL(m):","",
"SO 50 MHz","50 MHz","9","0","I2FUM","JN45MM","0","0","986","7","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","IW5BHU","193","0","PWR(W): 50","TRX:","Ant: 3 elem","ASL(m):","",
"SO 50 MHz","50 MHz","9","0","I2FUM","JN45MM","0","0","986","7","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","IW5BHU","193","0","PWR(W): 50","TRX:","Ant: 3 elem","ASL(m):","",
"DIS 50 MHz","50 MHz","","0","IW5BHU","JN54MM","","0","","0","","","","","","","","","","","0","PWR(W): 100","TRX:","Ant: Yagi 7 el.","ASL(m):","",
"6H 50 MHz","50 MHz","1","0","OE4WHG","JN87MM","0","0","267140","26","","","","0,0 %","7","1,0 %","0,0 %","0,0 %","GM6NX","1686","0","PWR(W): 200","TRX:","Ant: 5el.","ASL(m):","",
"6H 50 MHz","50 MHz","2","0","IK3SSG","JN55MM","0","0","141354","31","","","","0,0 %","5","0,6 %","0,0 %","0,0 %","DK2EA","556","0","PWR(W): 70","TRX:","Ant: MomoBeam 5el. Yagi","ASL(m):","",
"6H 50 MHz","50 MHz","3","0","SM7KOJ","JO66MM","0","0","121198","21","","","","0,0 %","2","0,2 %","0,0 %","0,0 %","9A6A","1473","0","PWR(W): 100","TRX:","Ant: 5 el","ASL(m):","",
"6H 50 MHz","50 MHz","4","0","SM0IKR","JO99MM","0","0","1686","3","","","","0,0 %","2","24,0 %","0,0 %","0,0 %","SM7HGY","354","0","PWR(W): 100","TRX:","Ant: YAGI","ASL(m):","",
"6H 50 MHz","50 MHz","5","0","DL5LS","JO54MM","0","0","1020","3","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","OZ1IKY","170","0","PWR(W): 50.0","TRX:","Ant: 2 Element Dipol","ASL(m):","",
"6H 50 MHz","50 MHz","6","0","9H1PI","JM75MM","0","0","324","2","","","","0,0 %","2","50,0 %","0,0 %","0,0 %","IT9JOB","112","0","PWR(W): 100","TRX:","Ant: 5 Elem Yagi","ASL(m):","",
