"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 70 MHz","70 MHz","1","0","EA1W","IN73DN","67861","52","64275","50","","5,3 %","9","18,4 %","0,0 %","0,0 %","YO5KAI/P","2314","0","PWR(W): 25","TRX:","Ant: 5EL. YAGI H.M.","ASL(m):","",
"SO 70 MHz","70 MHz","2","0","EA1GCN","IN73DN","46463","35","42154","32","","9,3 %","2","7,2 %","0,0 %","0,0 %","G0SAY","2029","0","PWR(W): 25","TRX:","Ant: YAGI-4 ELEMENTOS","ASL(m):","",
"SO 70 MHz","70 MHz","3","0","EA5EX","IM98GG","42702","27","38947","25","","8,8 %","2","7,3 %","12,0 %","0,0 %","PA0O","1780","0","PWR(W): 10","TRX:","Ant: 5 ELEM YAGUI","ASL(m):","",
"SO 70 MHz","70 MHz","4","0","SO6OO","JO81LB","16196","17","14853","16","","8,3 %","3","13,4 %","68,8 %","0,0 %","EA5EX","2026","0","PWR(W): 20","TRX:","Ant: 6EL portable SO6OO, 4m boom, 10m height","ASL(m):","",
"SO 70 MHz","70 MHz","5","0","EA8BPX","IL18SK","12922","4","12922","4","","0,0 %","0","0,0 %","0,0 %","0,0 %","S51DI","3445","0","PWR(W): 10","TRX:","Ant: LFA 7 ELEM.","ASL(m):","",
"SO 70 MHz","70 MHz","6","0","HA5UA","JN97UM","16169","23","12570","18","","22,3 %","1","1,8 %","77,8 %","0,0 %","EI4DQ","2046","0","PWR(W): 50","TRX:","Ant: 5 el 3el DK7ZBs","ASL(m): 134","",
"SO 70 MHz","70 MHz","7","0","ON8JA","JO20HS","11469","13","11469","13","","0,0 %","1","9,7 %","0,0 %","0,0 %","EA7KBX","1579","0","PWR(W): 50","TRX:","Ant: 6 element yagi","ASL(m):","",
"SO 70 MHz","70 MHz","8","0","SP5QWB","KO02NO","11411","8","11411","8","","0,0 %","0","0,0 %","0,0 %","0,0 %","EI2IP","2000","0","PWR(W): 10","TRX:","Ant: 8 el YAGI","ASL(m):","",
"SO 70 MHz","70 MHz","9","0","IW5BHU","JN54BC","8185","9","8058","8","","1,6 %","0","0,0 %","0,0 %","0,0 %","EI3GYB","1744","0","PWR(W): 10","TRX:","Ant: Yagi 7 el.","ASL(m): 1300","",
"SO 70 MHz","70 MHz","10","0","IK8BIZ","JN70EU","7107","5","7107","5","","0,0 %","1","23,6 %","20,0 %","0,0 %","GW4RWR","1912","0","PWR(W): 10","TRX:","Ant: 3 el. yagi","ASL(m): 80","",
"SO 70 MHz","70 MHz","11","0","IK2AQZ","JN45MS","6389","12","6358","11","","0,5 %","1","24,3 %","0,0 %","0,0 %","EA9IB","1544","0","PWR(W): 10","TRX:","Ant: YAGI 5 EL","ASL(m): 300","",
"SO 70 MHz","70 MHz","12","0","PE1EWR","JO11SL","5836","8","5538","7","","5,1 %","2","20,9 %","0,0 %","0,0 %","EA4AFP","1309","0","PWR(W): 40","TRX:","Ant: 4-4EPS6 4","ASL(m): 0","",
"SO 70 MHz","70 MHz","13","0","IK2ULM","JN45OM","5296","7","5240","5","","1,1 %","0","0,0 %","0,0 %","0,0 %","EA1UR","1418","0","PWR(W): 10","TRX:","Ant: Sirio CX-4-68","ASL(m): 120","",
