"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","LL Squares","CC LL Squares","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 70 MHz","70 MHz","1","0","9A6A","JN83MM","0","0","514188","38","","","","0,0 %","18","1,9 %","0,0 %","0,0 %","EA7UW","2021","0","PWR(W): 10","TRX:","Ant: 5 el Yagi DK7ZB","ASL(m):","",
"SO 70 MHz","70 MHz","2","0","DH8BQA","JO73MM","0","0","230850","29","","","","0,0 %","13","2,2 %","0,0 %","0,0 %","EI4DQ","1632","0","PWR(W): 20","TRX:","Ant: 6 ele LFA Yagi","ASL(m):","",
"SO 70 MHz","70 MHz","3","0","SQ6RMA","JO80MM","0","0","25272","10","","","","0,0 %","4","3,2 %","0,0 %","0,0 %","DK2GOX","582","0","PWR(W): 25","TRX:","Ant: 5 el. yagi","ASL(m):","",
"SO 70 MHz","70 MHz","4","0","IW5BHU","JN54MM","0","0","23496","9","","","","0,0 %","2","2,5 %","0,0 %","0,0 %","DK2GOX","577","0","PWR(W): 10","TRX:","Ant: Yagi 7 el.","ASL(m):","",
"SO 70 MHz","70 MHz","5","0","DF4NR","JO50MM","0","0","11550","6","","","","0,0 %","3","6,8 %","0,0 %","0,0 %","PE1ITR","435","0","PWR(W): 8","TRX:","Ant: HB9CV","ASL(m):","",
"SO 70 MHz","70 MHz","6","0","DL3BQA","JO73MM","0","0","1914","7","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","DF5VAE","172","0","PWR(W): 10","TRX:","Ant: Halfwave","ASL(m):","",
"SO 70 MHz","70 MHz","7","0","IZ5HQB","JN53MM","0","0","1068","2","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","9A6A","484","0","PWR(W): 10","TRX:","Ant: moxon","ASL(m):","",
"SO 70 MHz","70 MHz","8","0","SP7VVB","JO91MM","0","0","324","2","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","SP9HWY","112","0","PWR(W): 20","TRX:","Ant: GP","ASL(m):","",
"6H 70 MHz","70 MHz","1","0","IK5AMB","JN53MM","0","0","28800","13","","","","0,0 %","4","3,4 %","0,0 %","0,0 %","DK2GOX","685","0","PWR(W): 10","TRX:","Ant: 5 elements HM","ASL(m):","",
"6H 70 MHz","70 MHz","2","0","EI8KN","IO62MM","0","0","27559","8","","","","0,0 %","6","9,7 %","0,0 %","0,0 %","DL5WP","1074","0","PWR(W): 50","TRX:","Ant: 6 elements","ASL(m):","",
"6H 70 MHz","70 MHz","3","0","S51DI","JN76MM","0","0","23247","10","","","","0,0 %","1","1,9 %","0,0 %","0,0 %","DL7MDX","447","0","PWR(W): 100","TRX:","Ant: 8 el yagi, 7 el yagi","ASL(m):","",
"6H 70 MHz","70 MHz","4","0","HB9HDI","JN47MM","0","0","21504","9","","","","0,0 %","5","7,0 %","0,0 %","0,0 %","DH2OAA","556","0","PWR(W): 20","TRX:","Ant: Moxon","ASL(m):","",
