"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","1","0","IK7UXW","JN80XP","31369","59","29621","56","","5,6 %","14","11,1 %","87,5 %","0,0 %","IQ1KW","985","0","PWR(W): 300","TRX:","Ant: 2.4 Dish","ASL(m): 40","",
"SO 1.3 GHz","1.3 GHz","2","0","IK3GHY","JN65DM","28893","71","28137","69","","2,6 %","0","0,0 %","72,5 %","0,0 %","IK7JNM","715","0","PWR(W): 500","TRX:","Ant: 3mt dish","ASL(m): 2","",
"SO 1.3 GHz","1.3 GHz","3","0","OE5VRL","JN78DK","28090","87","27774","86","","1,1 %","0","0,0 %","41,9 %","0,0 %","ON4CJQ/P","732","0","PWR(W): 10","TRX:","Ant: 3 m Parabol","ASL(m): 883","",
"SO 1.3 GHz","1.3 GHz","4","0","OM5AW","JN98AH","27605","85","25803","81","","6,5 %","0","0,0 %","80,2 %","0,0 %","IQ1KW","924","0","PWR(W): 150","TRX:","Ant: 2,4m+1,9mDish","ASL(m): 236","",
"SO 1.3 GHz","1.3 GHz","5","0","HA8V","KN06HT","24440","61","23969","60","","1,9 %","0","0,0 %","86,7 %","0,0 %","DK0NA","770","0","PWR(W): 200","TRX:","Ant: 220cm dish","ASL(m): 85","",
"SO 1.3 GHz","1.3 GHz","6","0","YP2DX","KN05IS","24812","59","23578","57","","5,0 %","1","1,1 %","87,7 %","0,0 %","OK2A","781","0","PWR(W): 100","TRX:","Ant: 70el","ASL(m): 75","",
"SO 1.3 GHz","1.3 GHz","7","0","YU1LA","KN04FR","23887","52","23500","51","","1,6 %","0","0,0 %","90,2 %","0,0 %","OK2A","853","0","PWR(W): 200","TRX:","Ant: 78el yagi","ASL(m): 138","",
"SO 1.3 GHz","1.3 GHz","8","0","OM5CM","JN87WV","23445","78","23109","76","","1,4 %","0","0,0 %","72,4 %","0,0 %","IQ1KW","896","0","PWR(W): 100","TRX: IC-9700","Ant: 180cmDish","ASL(m): 108","",
"SO 1.3 GHz","1.3 GHz","9","0","OE3JPC","JN87EW","22223","76","21589","74","","2,9 %","1","0,2 %","81,1 %","0,0 %","IK7UXW","821","0","PWR(W): 10","TRX:","Ant: 2x55el F9FT modified","ASL(m): 210","",
"SO 1.3 GHz","1.3 GHz","10","0","DK1KC/P","JN58QH","21267","72","20705","71","","2,6 %","0","0,0 %","49,3 %","0,0 %","YP2DX","762","0","PWR(W): 120","TRX:","Ant: 51 El","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","11","0","I4CIV","JN64GB","20197","45","20197","45","","0,0 %","0","0,0 %","66,7 %","0,0 %","OL9W","741","0","PWR(W): 250","TRX:","Ant: DISH 190 cm","ASL(m): 2","",
"SO 1.3 GHz","1.3 GHz","12","0","OK1PGS","JN69MX","19711","74","19711","74","","0,0 %","0","0,0 %","39,2 %","0,0 %","YP2DX","739","0","PWR(W): 120","TRX: IC-9700","Ant: 4x13 el Y.","ASL(m): 719","",
"SO 1.3 GHz","1.3 GHz","13","0","DH9NFM","JO50RF","20920","83","19529","81","","6,6 %","0","0,0 %","3,7 %","0,0 %","F5FEN","758","0","PWR(W): 300","TRX:","Ant: 21 Element Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","14","0","OK2STV","JN89DO","19378","77","19299","76","","0,4 %","0","0,0 %","42,1 %","0,0 %","LZ2T","893","0","PWR(W): 80","TRX: IC705 + transverter","Ant: Dish 1,8 m","ASL(m): 756","",
"SO 1.3 GHz","1.3 GHz","15","0","DH5YM","JO60OM","19351","88","18692","85","","3,4 %","0","0,0 %","41,2 %","0,0 %","HA8V","683","0","PWR(W): 200","TRX:","Ant: 1.5m dish + Quados","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","16","0","S51ZO","JN86DR","17328","55","16580","53","","4,3 %","1","1,4 %","81,1 %","0,0 %","IQ1KW","743","0","PWR(W): 100","TRX: IC-202s+Transv.+PA","Ant: 1.8m Dish","ASL(m): 317","",
"SO 1.3 GHz","1.3 GHz","17","0","DL1SUZ","JO53UN","14743","45","14324","43","","2,8 %","0","0,0 %","55,8 %","0,0 %","OM3KII","670","0","PWR(W): 250","TRX:","Ant: 1,5m-Dish","ASL(m): 65","",
"SO 1.3 GHz","1.3 GHz","18","0","S51DI","JN76VL","14321","51","13530","48","","5,5 %","0","0,0 %","89,6 %","0,0 %","IQ1KW","699","0","PWR(W): 100","TRX: FT-817 + DB6NT XVRT","Ant: 70 el Yagi","ASL(m): 240","",
"SO 1.3 GHz","1.3 GHz","19","0","ON4CJQ/P","JO20KW","13786","38","12839","36","","6,9 %","1","0,2 %","5,6 %","0,0 %","OE5VRL","732","0","PWR(W): 100","TRX: FT-817, transv+ampli","Ant: 120cm mesh dish","ASL(m): 78","",
"SO 1.3 GHz","1.3 GHz","20","0","DL5SE","JO50XL","12972","59","12729","58","","1,9 %","0","0,0 %","51,7 %","0,0 %","9A6K","730","0","PWR(W): 120","TRX:","Ant: 64Ele","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","21","0","S50TA","JN76HD","13231","41","12359","38","","6,6 %","0","0,0 %","89,5 %","0,0 %","IK7UXW","669","0","PWR(W): 50","TRX: XVRT","Ant: 49","ASL(m): 304","",
"SO 1.3 GHz","1.3 GHz","22","0","DL6SH","JN48SW","12726","42","11957","40","","6,0 %","0","0,0 %","0,0 %","0,0 %","OM6A","675","0","PWR(W): 300","TRX:","Ant: 180cm Spiegel","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","23","0","DL2FQ","JN49EW","13127","39","11740","36","","10,6 %","0","0,0 %","55,6 %","0,0 %","OM6A","758","0","PWR(W): 60","TRX:","Ant: 36 el","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","24","0","9A4M","JN85EI","11485","39","11485","39","","0,0 %","0","0,0 %","94,9 %","0,0 %","DK0NA","660","0","PWR(W): 10","TRX:","Ant: 35el yagi","ASL(m): 406","",
"SO 1.3 GHz","1.3 GHz","25","0","DK5EZ","JO31NH","12265","46","11425","45","","6,8 %","1","0,4 %","4,4 %","0,0 %","OL9W","811","0","PWR(W): 0","TRX:","Ant: Parabolspgl. 200cm m. Breitbandfeed","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","26","0","DL1HSF","JO61FR","12267","58","11405","55","","7,0 %","0","0,0 %","1,8 %","0,0 %","OM5AW","551","0","PWR(W): 100","TRX:","Ant: 120cm Dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","27","0","DL5EBS","JO31NH","11641","44","10857","42","","6,7 %","1","6,0 %","14,3 %","0,0 %","OL9W","811","0","PWR(W): 200","TRX:","Ant: 2m Dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","28","0","DJ8MS","JO54VC","11227","27","10639","26","","5,2 %","0","0,0 %","65,4 %","0,0 %","OM6A","737","0","PWR(W): 150","TRX:","Ant: 67 el Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","29","0","9A6C","JN83CN","11445","31","10456","28","","8,6 %","3","3,6 %","89,3 %","0,0 %","OK2A","803","0","PWR(W): 30","TRX: dg0ve","Ant: 55 el f9ft","ASL(m): 700","",
"SO 1.3 GHz","1.3 GHz","30","0","DL3LAR","JO52GE","10495","45","10230","43","","2,5 %","0","0,0 %","44,2 %","0,0 %","OM6A","675","0","PWR(W): 100","TRX:","Ant: 1.2m dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","31","0","DL6NAQ","JO40XI","10848","54","9641","48","","11,1 %","1","0,7 %","0,0 %","0,0 %","S51ZO","616","0","PWR(W): 200","TRX:","Ant: parapolspiegel 1,2meter","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","32","0","SP7VVB","JO91VQ","9396","24","9396","24","","0,0 %","0","0,0 %","79,2 %","0,0 %","YP2DX","662","0","PWR(W): 20","TRX:","Ant: 200cm dish","ASL(m): 227","",
"SO 1.3 GHz","1.3 GHz","33","0","DL8LR","JN39PN","11012","44","9245","39","","16,0 %","0","0,0 %","0,0 %","0,0 %","DG0VV","543","0","PWR(W): 0","TRX:","Ant: 40 El. Collinear Gruppe","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","34","0","DL1HTT","JO61FR","9911","38","8657","36","","12,7 %","0","0,0 %","41,7 %","0,0 %","S51ZO","622","0","PWR(W): 35","TRX:","Ant: 1,2m Dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","35","0","HB9BAT/P","JN37SG","8388","29","8388","29","","0,0 %","5","3,0 %","27,6 %","0,0 %","OM6A","858","0","PWR(W): 50","TRX:","Ant: 23 El. Yagi","ASL(m): 1396","",
"SO 1.3 GHz","1.3 GHz","36","0","9A3DF","JN86HF","10255","32","8266","28","","19,4 %","0","0,0 %","96,4 %","0,0 %","DL1HTT","683","0","PWR(W): 300","TRX:","Ant: 1,9m dish","ASL(m): 213","",
"SO 1.3 GHz","1.3 GHz","37","0","PA0O","JO33HG","11752","33","8151","26","","30,6 %","6","17,2 %","30,8 %","0,0 %","SM6VTZ","652","0","PWR(W): 100","TRX:","Ant: 1m2dish","ASL(m): 0","",
"SO 1.3 GHz","1.3 GHz","38","0","DK4VW","JO40IT","8085","34","8085","34","","0,0 %","0","0,0 %","20,6 %","0,0 %","OL9W","693","0","PWR(W): 100","TRX:","Ant: 18 ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","39","0","IW3SPI","JN66OD","8833","30","7939","27","","10,1 %","0","0,0 %","0,0 %","0,0 %","IK7UXW","722","0","PWR(W): 200","TRX: ICOM 706MKIIG + transverter","Ant: 1,80 mt dish","ASL(m): 165","",
"SO 1.3 GHz","1.3 GHz","40","0","DJ3AK","JO52GJ","7471","32","7471","32","","0,0 %","0","0,0 %","31,3 %","0,0 %","OM6A","686","0","PWR(W): 100","TRX:","Ant: 48el","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","41","0","DD8DW","JO31WO","7334","36","7334","36","","0,0 %","0","0,0 %","0,0 %","0,0 %","OL9W","767","0","PWR(W): 100","TRX:","Ant: SHF2367","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","42","0","OM3CQF","JN88RT","7212","50","7072","49","","1,9 %","0","0,0 %","44,9 %","0,0 %","DK0NA","454","0","PWR(W): 8","TRX: IC-1271E","Ant: F9FT 38el","ASL(m): 622","",
"SO 1.3 GHz","1.3 GHz","43","0","DF2FQ","JN57MT","7155","40","6744","37","","5,7 %","0","0,0 %","0,0 %","0,0 %","OL9W","558","0","PWR(W): 80","TRX:","Ant: 40 Ele Flexa","ASL(m):","",
