"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 50 MHz","50 MHz","1","0","ED5R","JM08CT","663691","420","630629","399","","5,0 %","13","3,4 %","0,0 %","0,0 %","D4L","3454","0","PWR(W): 500","TRX:","Ant: 6 ele","ASL(m): 100","",
"SO 50 MHz","50 MHz","2","0","UX0KR","KO30CO","540999","345","505408","323","","6,6 %","20","5,9 %","4,3 %","0,0 %","ED5R","2418","0","PWR(W): 200","TRX:","Ant: 7 el YU7EF","ASL(m):","",
"SO 50 MHz","50 MHz","3","0","YU5R","KN04PF","397988","313","390789","307","","1,8 %","7","2,8 %","19,5 %","0,0 %","D4L","5275","0","PWR(W): 100","TRX: FLEX 6600","Ant: 7 el YAGI","ASL(m): 250","",
"SO 50 MHz","50 MHz","4","0","OK2GM","JN99GM","405967","363","379869","338","","6,4 %","10","3,9 %","10,7 %","0,0 %","4X2M","2309","0","PWR(W): 100","TRX:","Ant: 6el DK7ZB","ASL(m): 905","",
"SO 50 MHz","50 MHz","5","0","LZ2ZY","KN13OT","381070","277","373998","271","","1,9 %","4","1,7 %","0,0 %","0,0 %","D4L","5405","0","PWR(W): 50","TRX:","Ant: 5 el","ASL(m): 135","",
"SO 50 MHz","50 MHz","6","0","SV3RPQ","KM18AF","384181","243","360779","228","","6,1 %","8","3,2 %","0,0 %","0,0 %","G4AFF","2279","0","PWR(W): 100","TRX:","Ant: 5EL YAGI","ASL(m): 90m","",
"SO 50 MHz","50 MHz","7","0","UX0FF","KN45KJ","390722","264","356876","242","","8,7 %","10","4,2 %","8,7 %","0,0 %","GM4JTJ","2497","0","PWR(W): 200","TRX:","Ant: 7 EL","ASL(m):","",
"SO 50 MHz","50 MHz","8","0","YT1Z","KN13CT","371231","290","353729","275","","4,7 %","7","2,3 %","10,2 %","0,0 %","MM2N","2289","0","PWR(W): 100","TRX:","Ant: 6 el YU7EF","ASL(m): 400","",
"SO 50 MHz","50 MHz","9","0","SP6YG","JO90CK","356614","300","349157","295","","2,1 %","6","2,2 %","0,0 %","0,0 %","4X2M","2400","0","PWR(W): 100","TRX:","Ant: 6el.DK7ZB","ASL(m): 207","",
"SO 50 MHz","50 MHz","10","0","LZ1ZP","KN22ID","347441","236","328851","224","","5,4 %","5","1,9 %","21,9 %","0,0 %","G8T","2448","0","PWR(W): 100","TRX:","Ant: 4el yagi","ASL(m): 160","",
"SO 50 MHz","50 MHz","11","0","F4ARU","JN03MM","330314","243","322393","236","","2,4 %","3","1,0 %","3,0 %","0,0 %","VO1FOG","4169","0","PWR(W): 100","TRX:","Ant: 8 ELTS","ASL(m): 326","",
"SO 50 MHz","50 MHz","12","0","G8X","IO80EW","339403","294","322105","281","","5,1 %","8","1,1 %","17,1 %","0,0 %","D4L","4238","0","PWR(W): 1000","TRX: FT5K + Amp","Ant: 6+6ele Azi-Div","ASL(m): 295","",
"SO 50 MHz","50 MHz","13","0","IZ4DPV","JN64BG","317212","308","303905","293","","4,2 %","22","10,8 %","0,0 %","0,0 %","4X2M","2357","0","PWR(W): 500","TRX:","Ant: 7 7 + 6 EL","ASL(m):","",
"SO 50 MHz","50 MHz","14","0","SN0R","KN09FX","310625","222","298509","213","","3,9 %","2","1,1 %","0,0 %","0,0 %","ED5R","2022","0","PWR(W): 90","TRX:","Ant: 1 YAGI 7el","ASL(m):","",
"SO 50 MHz","50 MHz","15","0","ED5I","IM98PB","322685","200","294284","184","","8,8 %","8","2,4 %","0,0 %","0,0 %","D4L","3340","0","PWR(W): 600","TRX:","Ant: 7 Ele","ASL(m): 60m","",
"SO 50 MHz","50 MHz","16","0","Z35U","KN01SV","319730","217","288082","197","","9,9 %","8","4,2 %","18,8 %","0,0 %","GM0ULK/P","2387","0","PWR(W): 100","TRX:","Ant: 6 EL. YAGI","ASL(m): 256 m","",
"SO 50 MHz","50 MHz","17","0","MW8R","IO82HP","297130","260","286214","249","","3,7 %","7","2,8 %","0,0 %","0,0 %","R6KA","2933","0","PWR(W): 800","TRX: IC7300 + amp","Ant: 6 ele","ASL(m): 285","",
"SO 50 MHz","50 MHz","18","0","UX3IW","KN88WJ","305493","194","284112","178","","7,0 %","2","1,4 %","51,1 %","0,0 %","G8T","3093","0","PWR(W): 100","TRX:","Ant: 8 el","ASL(m):","",
"SO 50 MHz","50 MHz","19","0","US4EX","KN78HL","322771","215","280323","186","","13,2 %","7","4,2 %","20,4 %","0,0 %","EI8KN","2962","0","PWR(W): 100","TRX:","Ant: 5 el yagi","ASL(m):","",
"SO 50 MHz","50 MHz","20","0","S59A","JN76XQ","287421","291","271647","273","","5,5 %","7","4,1 %","23,4 %","0,0 %","D4L","5005","0","PWR(W): 100","TRX: TS890","Ant: 2x8","ASL(m): 330","",
"SO 50 MHz","50 MHz","21","0","EA3LA","JN12IK","285063","203","263704","192","","7,5 %","11","2,3 %","0,0 %","0,0 %","OH5Z","2584","0","PWR(W): 100","TRX: Yaesu FT-736","Ant: 5 el. Yagui","ASL(m): 650","",
"SO 50 MHz","50 MHz","22","0","OM6KW","JN99EH","253455","226","247765","219","","2,2 %","3","0,6 %","23,3 %","0,0 %","4X2M","2300","0","PWR(W): 100","TRX:","Ant: 5 ele. Yagi","ASL(m):","",
