"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","1","0","DG5NFF","JO50DO","47700","153","44081","145","","7,6 %","4","2,4 %","2,1 %","0,0 %","9A2SB","834","0","PWR(W): 200","TRX:","Ant: 4x18ele","ASL(m): 750","",
"SO 1.3 GHz","1.3 GHz","2","0","OK1FPG","JN79IO","31754","109","30602","105","","3,6 %","1","1,9 %","61,0 %","0,0 %","IQ1KW","791","0","PWR(W): 100","TRX:","Ant: DISH 2m","ASL(m): 720","",
"SO 1.3 GHz","1.3 GHz","3","0","IK3GHY","JN65DM","32143","77","30442","73","","5,3 %","0","0,0 %","68,5 %","0,0 %","IK7UXW","711","0","PWR(W): 500","TRX:","Ant: 3mt dish","ASL(m): 2","",
"SO 1.3 GHz","1.3 GHz","4","0","OM5AW","JN98AH","33604","103","30158","96","","10,3 %","1","2,1 %","71,9 %","0,0 %","IQ1KW","924","0","PWR(W): 150","TRX:","Ant: 2,4mDish","ASL(m): 236","",
"SO 1.3 GHz","1.3 GHz","5","0","OE3JPC","JN87EW","30553","102","29607","98","","3,1 %","1","0,1 %","68,4 %","0,0 %","IK7UXW","821","0","PWR(W): 10","TRX:","Ant: 2x56El. Yagi","ASL(m): 225","",
"SO 1.3 GHz","1.3 GHz","6","0","OK1TEH","JO70FD","31758","112","29367","106","","7,5 %","0","0,0 %","53,8 %","0,0 %","YU1LA","753","0","PWR(W): 400","TRX:","Ant: 17dBd DISH","ASL(m): 320","",
"SO 1.3 GHz","1.3 GHz","7","0","HA5UA","JN97UM","28238","80","27810","79","","1,5 %","1","0,1 %","72,2 %","0,0 %","IK7UXW","778","0","PWR(W): 75","TRX:","Ant: 150cm mesh dish","ASL(m): 152","",
"SO 1.3 GHz","1.3 GHz","8","0","YP2DX","KN05IS","26056","61","25308","58","","2,9 %","0","0,0 %","91,4 %","0,0 %","SQ5N","728","0","PWR(W): 100","TRX:","Ant: 70el","ASL(m): 80","",
"SO 1.3 GHz","1.3 GHz","9","0","9A5M","JN95GO","26208","65","25248","63","","3,7 %","0","0,0 %","85,7 %","0,0 %","IQ1KW","895","0","PWR(W): 100","TRX:","Ant: 200cm dish","ASL(m): 91","",
"SO 1.3 GHz","1.3 GHz","10","0","HA8V","KN06HT","24638","57","24497","56","","0,6 %","0","0,0 %","92,9 %","0,0 %","DK0NA","770","0","PWR(W): 200","TRX:","Ant: 220cm dish","ASL(m): 84","",
"SO 1.3 GHz","1.3 GHz","11","0","OE5VRL","JN78DK","25308","73","23737","69","","6,2 %","0","0,0 %","56,5 %","0,0 %","IS0JHQ","934","0","PWR(W): 10","TRX:","Ant: 3 m Parabol","ASL(m): 883","",
"SO 1.3 GHz","1.3 GHz","12","0","I4CIV","JN64GB","22795","46","21950","44","","3,7 %","0","0,0 %","75,0 %","0,0 %","DM5D","785","0","PWR(W): 300","TRX:","Ant: Dish 190","ASL(m): 2","",
"SO 1.3 GHz","1.3 GHz","13","0","YU1LA","KN04FR","23668","49","21791","46","","7,9 %","0","0,0 %","93,5 %","0,0 %","OK1KKL","759","0","PWR(W): 200","TRX:","Ant: SHF 78 el yagi","ASL(m): 138","",
"SO 1.3 GHz","1.3 GHz","14","0","S51ZO","JN86DR","20279","60","20279","60","","0,0 %","0","0,0 %","85,0 %","0,0 %","IS0JHQ","872","0","PWR(W): 100","TRX: IC-202s+Transv.+PA","Ant: 1.8m Dish","ASL(m): 317","",
"SO 1.3 GHz","1.3 GHz","15","0","DK1KC/P","JN58QH","18611","56","18124","55","","2,6 %","0","0,0 %","58,2 %","0,0 %","9A8D","654","0","PWR(W): 100","TRX:","Ant: 2x51 El","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","16","0","SQ5N","KO02LH","19576","45","17904","42","","8,5 %","1","1,2 %","61,9 %","0,0 %","DL0NF","747","0","PWR(W): 300","TRX:","Ant: F9FT 55el","ASL(m): 120m","",
"SO 1.3 GHz","1.3 GHz","17","0","DK5EZ","JO31NH","17830","72","17800","71","","0,2 %","1","3,6 %","15,5 %","0,0 %","OM6A","865","0","PWR(W): 200","TRX:","Ant: Parabolspgl. 200cm m. Breitbandfeed","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","18","0","OK1PGS","JN69RS","17773","71","17374","70","","2,2 %","0","0,0 %","55,7 %","0,0 %","HA8V","624","0","PWR(W): 120","TRX: IC-9700","Ant: 4 x 13 el Y.","ASL(m): 380","",
"SO 1.3 GHz","1.3 GHz","19","0","SP7VVB","JO91VQ","16459","44","16459","44","","0,0 %","1","0,6 %","72,7 %","0,0 %","YP2DX","662","0","PWR(W): 20","TRX:","Ant: 200cm dish","ASL(m): 227","",
"SO 1.3 GHz","1.3 GHz","20","0","IS0JHQ","JN40LW","17159","28","16287","27","","5,1 %","5","17,4 %","66,7 %","0,0 %","9A8D","957","0","PWR(W): 500","TRX:","Ant: 2.4m dish","ASL(m): 905","",
"SO 1.3 GHz","1.3 GHz","21","0","DL3LAR","JO52GE","16315","64","15853","62","","2,8 %","1","0,2 %","29,0 %","0,0 %","OM5AW","686","0","PWR(W): 100","TRX:","Ant: 1.2m Dish","ASL(m):","",
