"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 70 MHz","70 MHz","1","0","GM4ZUK/P","IO86RW","30312","69","29718","68","","2,0 %","9","2,8 %","8,8 %","0,0 %","GU3TUX","802","0","PWR(W): 150","TRX:","Ant: 8 ele Yagi","ASL(m): 455","",
"SO 70 MHz","70 MHz","2","0","MW1B","IO81KW","21292","102","20986","101","","1,4 %","3","2,0 %","0,0 %","0,0 %","GM1T","618","0","PWR(W): 120","TRX:","Ant: 6 ele homebrew","ASL(m): 740","",
"SO 70 MHz","70 MHz","3","0","PA/G4CWH/P","JO23IA","18311","44","16435","39","","10,2 %","0","0,0 %","17,9 %","0,0 %","YR8Y","1595","0","PWR(W): 50","TRX: K3 + HBW Xverter +SSPA","Ant: 5-ele & 9-ele YU7EFs","ASL(m): 10","",
"SO 70 MHz","70 MHz","4","0","G4LPP","JO02SS","13886","60","13711","59","","1,3 %","0","0,0 %","8,5 %","0,0 %","GM1T","561","0","PWR(W): 160","TRX: IC-7300 H B LDMOS Linear","Ant: 4 ele yagi","ASL(m): 3","",
"SO 70 MHz","70 MHz","5","0","GW9J","IO72VE","13713","54","13018","51","","5,1 %","3","1,5 %","17,6 %","0,0 %","PA/G4CWH/P","609","0","PWR(W): 160","TRX: ftdx1010mp gemini pa","Ant: 7 ele powabeam","ASL(m): 300","",
"SO 70 MHz","70 MHz","6","0","M8C/P","JO01CJ","12602","72","12602","72","","0,0 %","3","1,8 %","0,0 %","0,0 %","GM4ZUK/P","642","0","PWR(W): 160","TRX: Kenwood TS2000 + 4M Transverter","Ant: 4 El","ASL(m): 100","",
"SO 70 MHz","70 MHz","7","0","G4CZB/P","IO92LH","11581","81","11418","80","","1,4 %","1","0,4 %","8,8 %","0,0 %","DL2OM","626","0","PWR(W): 120","TRX: IC7300 + h b PA","Ant: 6 ele LFA","ASL(m): 135","",
"SO 70 MHz","70 MHz","8","0","M1W","IO83RO","10566","48","10566","48","","0,0 %","2","0,3 %","0,0 %","0,0 %","SP5QWB","1577","0","PWR(W): 40","TRX: ic7300","Ant: 5 LFA","ASL(m): 300","",
"SO 70 MHz","70 MHz","9","0","G0ODQ","IO91MR","10562","72","10339","71","","2,1 %","0","0,0 %","0,0 %","0,0 %","GM1T","638","0","PWR(W): 160","TRX: FTDX10 +Amp","Ant: 4 ele of dual","ASL(m): 120","",
"SO 70 MHz","70 MHz","10","0","G3XDY","JO02OB","11763","55","10120","49","","14,0 %","0","0,0 %","10,2 %","0,0 %","GM1T","628","0","PWR(W): 150","TRX: K3+tvtr+SSPA","Ant: 6 el Yagi","ASL(m): 40m","",
"SO 70 MHz","70 MHz","11","0","M1L","IO91AU","9329","56","9128","55","","2,2 %","0","0,0 %","0,0 %","0,0 %","GM1T","621","0","PWR(W): 50","TRX: IC-7300","Ant: 5 Ele Powabeam","ASL(m): 250","",
"SO 70 MHz","70 MHz","12","0","G0SKA","IO91OQ","8603","63","8603","63","","0,0 %","0","0,0 %","0,0 %","0,0 %","GM4ZUK/P","595","0","PWR(W): 120","TRX: IC7300 plus lin","Ant: 7 ele Powabeam","ASL(m): 204","",
"SO 70 MHz","70 MHz","13","0","M7DQO/P","JO03AH","8009","44","8009","44","","0,0 %","1","0,8 %","0,0 %","0,0 %","GM4ZUK/P","436","0","PWR(W): 25","TRX: icom ic 7100","Ant: 4 element yagi","ASL(m): 100","",
"SO 70 MHz","70 MHz","14","0","G4YPC","IO91RH","7283","47","7283","47","","0,0 %","0","0,0 %","8,5 %","0,0 %","GM4ZUK/P","639","0","PWR(W): 40","TRX: IC7300","Ant: 4ele Jaybeam","ASL(m): 26","",
"SO 70 MHz","70 MHz","15","0","G4BRK","IO91HP","7212","46","7212","46","","0,0 %","0","0,0 %","17,4 %","0,0 %","GM4ZUK/P","594","0","PWR(W): 150","TRX: HL2+TVTR+LDMOS","Ant: 5 el","ASL(m): 60","",
"SO 70 MHz","70 MHz","16","0","GW4RWR","IO83HE","7298","37","7072","36","","3,1 %","0","0,0 %","0,0 %","0,0 %","GM1T","484","0","PWR(W): 160","TRX: HB VXO TRX","Ant: 7el HB DK7ZB","ASL(m): 70","",
"SO 70 MHz","70 MHz","17","0","G4AFF","JO02LO","7335","39","6860","36","","6,5 %","0","0,0 %","0,0 %","0,0 %","GM1T","566","0","PWR(W): 160","TRX: K3 + txvtr","Ant: 13ele dual-band","ASL(m): 59","",
"SO 70 MHz","70 MHz","18","0","G3PHO","IO93GG","6927","39","6697","38","","3,3 %","0","0,0 %","7,9 %","0,0 %","SP5QWB","1510","0","PWR(W): 70","TRX: IC7300","Ant: 4 el dual band yagi","ASL(m): 100","",
"SO 70 MHz","70 MHz","19","0","S51DI","JN76VL","6196","26","6196","26","","0,0 %","6","25,5 %","84,6 %","0,0 %","YO5KAI","536","0","PWR(W): 100","TRX:","Ant: 8 el yagi, 7 el yagi","ASL(m): 240","",
"SO 70 MHz","70 MHz","20","0","G8LNR/P","IO81VR","6558","47","6088","44","","7,2 %","0","0,0 %","0,0 %","0,0 %","GM4ZUK/P","580","0","PWR(W): 50","TRX:","Ant: 6 ele OWL","ASL(m): 207","",
"SO 70 MHz","70 MHz","21","0","HA5UA","JN97UM","5742","18","5742","18","","0,0 %","1","3,9 %","72,2 %","0,0 %","GM1T","1814","0","PWR(W): 60","TRX:","Ant: 5el DK7ZB","ASL(m): 143","",
"SO 70 MHz","70 MHz","22","0","G3SQQ","IO93JC","5723","38","5722","37","","0,0 %","0","0,0 %","0,0 %","0,0 %","ON4IQ","447","0","PWR(W): 50","TRX: ICOM IC-7300","Ant: 5 EL  ( of dual band)","ASL(m): 191","",
"SO 70 MHz","70 MHz","23","0","2E0VPX","IO92UX","5366","38","5366","38","","0,0 %","2","0,2 %","0,0 %","0,0 %","GM4ZUK/P","463","0","PWR(W): 50","TRX: Yaesu FTDX10","Ant: 5 element","ASL(m): 15","",
"SO 70 MHz","70 MHz","24","0","MW8P","IO81HN","5287","26","5287","26","","0,0 %","0","0,0 %","0,0 %","0,0 %","GM4ZUK/P","601","0","PWR(W): 25","TRX: K3+ME4T","Ant: 6 ele PwrABeam","ASL(m): 140","",
"SO 70 MHz","70 MHz","25","0","G0MJW","IO91IO","4729","31","4721","30","","0,2 %","0","0,0 %","6,7 %","0,0 %","GM4ZUK/P","599","0","PWR(W): 40","TRX: IC9300","Ant: Home Made","ASL(m): 100","",
"SO 70 MHz","70 MHz","26","0","G5TO/P","IO93FL","4708","34","4527","33","","3,8 %","0","0,0 %","0,0 %","0,0 %","GM1T","441","0","PWR(W): 50","TRX: Icom IC7100","Ant: 4 element homebrew","ASL(m): 310","",
"SO 70 MHz","70 MHz","27","0","G0JBA","JO01PG","4451","25","4302","24","","3,3 %","0","0,0 %","0,0 %","0,0 %","MW8R","355","0","PWR(W): 160","TRX: Kuhne TR70H","Ant: 7ele Yagi","ASL(m): 32m","",
"SO 70 MHz","70 MHz","28","0","G8FMC","IO91NW","3992","34","3992","34","","0,0 %","0","0,0 %","0,0 %","0,0 %","GM4ZUK/P","567","0","PWR(W): 150","TRX: Elecraft K3s + OZ2M + PA. Also FTDX-10","Ant: 4 ele of dual-band","ASL(m): 115","",
"SO 70 MHz","70 MHz","29","0","M0UHF","IO91IP","4179","31","3744","29","","10,4 %","0","0,0 %","0,0 %","0,0 %","PA/G4CWH/P","436","0","PWR(W): 50","TRX: IC7300","Ant: 5070OWA9","ASL(m): 55","",
"SO 70 MHz","70 MHz","30","0","G3OVH","IO92JP","3751","30","3604","29","","3,9 %","0","0,0 %","0,0 %","0,0 %","GM4ZUK/P","485","0","PWR(W): 70","TRX: ic7100","Ant: 6 ele HB DK7ZB","ASL(m): 100","",
"SO 70 MHz","70 MHz","31","0","S57L","JN76GC","3333","16","3333","16","","0,0 %","1","7,4 %","75,0 %","0,0 %","DK2EA","505","0","PWR(W): 100","TRX: kx3","Ant: 4el","ASL(m):","",
"SO 70 MHz","70 MHz","32","0","M7PAT/P","IO93FL","3381","25","3318","23","","1,9 %","0","0,0 %","0,0 %","0,0 %","PA/G4CWH/P","419","0","PWR(W): 25","TRX: icomIC7100","Ant: 4 element","ASL(m): 310","",
"SO 70 MHz","70 MHz","33","0","G8IQL","IO90LX","3326","27","3131","26","","5,9 %","1","0,9 %","0,0 %","0,0 %","G6K","265","0","PWR(W): 25","TRX: IC705 + Spectrum TVTR","Ant: 3el innovantennas dual band","ASL(m): 190","",
"SO 70 MHz","70 MHz","34","0","G3YJR","IO93FJ","3398","25","3035","23","","10,7 %","1","2,4 %","21,7 %","0,0 %","PA/G4CWH/P","419","0","PWR(W): 4","TRX: K3 + txvtr","Ant: 4 el yagi","ASL(m): 235","",
"SO 70 MHz","70 MHz","35","0","HA1WA","JN87IH","3331","13","3029","12","","9,1 %","0","0,0 %","75,0 %","0,0 %","DK2EA","490","0","PWR(W): 10","TRX:","Ant: 9ele duob.","ASL(m): 210","",
"SO 70 MHz","70 MHz","36","0","HA8MV","KN06GU","2951","13","2779","12","","5,8 %","0","0,0 %","91,7 %","0,0 %","S57TW","483","0","PWR(W): 50","TRX:","Ant: 5el. DK7ZB","ASL(m): 84","",
"SO 70 MHz","70 MHz","37","0","2E0OUT","IO81WO","2715","18","2591","17","","4,6 %","0","0,0 %","0,0 %","0,0 %","GM4ZUK/P","594","0","PWR(W): 50","TRX: 7300","Ant: 13ell  duel","ASL(m): 94","",
