"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 50 MHz","50 MHz","1","0","EA5Z","JM08CT","907879","575","846049","536","","6,8 %","25","4,6 %","0,0 %","0,0 %","D4Z","3454","0","PWR(W): 500","TRX:","Ant: 6 ele","ASL(m):","",
"SO 50 MHz","50 MHz","2","0","ED5I","IM98PB","635427","397","608671","381","","4,2 %","9","1,7 %","0,0 %","0,0 %","D4Z","3340","0","PWR(W): 600","TRX:","Ant: 7 ele","ASL(m): 600","",
"SO 50 MHz","50 MHz","3","0","IG9/I2ADN","JM65HL","591240","406","570450","391","","3,5 %","25","5,8 %","0,0 %","0,0 %","G3Z","2258","0","PWR(W): 500","TRX:","Ant: 3 el.","ASL(m): 10","",
"SO 50 MHz","50 MHz","4","0","SV3RPQ","KM18AF","554325","392","522346","370","","5,8 %","14","3,8 %","0,0 %","0,0 %","CT1DIZ","2702","0","PWR(W): 100","TRX:","Ant: 5 element yagi","ASL(m): 90m","",
"SO 50 MHz","50 MHz","5","0","SV2DCD","KN00PL","524606","385","515877","378","","1,7 %","5","1,5 %","0,0 %","0,0 %","D4Z","5143","0","PWR(W): 400","TRX:","Ant: 11el+8el","ASL(m):","",
"SO 50 MHz","50 MHz","6","0","F4ARU","JN03MM","444405","333","419772","314","","5,5 %","12","2,6 %","12,1 %","0,0 %","D4Z","3845","0","PWR(W): 100","TRX:","Ant: 8 ELTS","ASL(m): 326","",
"SO 50 MHz","50 MHz","7","0","EA6SA/P","JN20CA","388926","277","370949","261","","4,6 %","6","2,2 %","2,7 %","0,0 %","D4Z","3811","0","PWR(W): 100","TRX:","Ant: 5 el Yagi","ASL(m): 130","",
"SO 50 MHz","50 MHz","8","0","IK7LMX","JN80XP","382152","274","359939","259","","5,8 %","10","3,6 %","2,3 %","0,0 %","D4Z","4881","0","PWR(W): 100","TRX:","Ant: 6el by i0jxx","ASL(m): 5","",
"SO 50 MHz","50 MHz","9","0","9A6A","JN83GE","374564","325","346465","304","","7,5 %","10","3,2 %","19,1 %","0,0 %","EA8BPX","3367","0","PWR(W): 100","TRX:","Ant: 5 el YAGI DK7ZB","ASL(m): 406","",
"SO 50 MHz","50 MHz","10","0","IT9BDM","JM77NE","340364","249","326050","239","","4,2 %","10","3,7 %","0,0 %","0,0 %","MW8R","2240","0","PWR(W): 300","TRX:","Ant: 6 element Yagi","ASL(m): 350","",
