"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO-LP 145 MHz","145 MHz","1","0","OE/HA5DDX","JN77WM","132588","419","128117","407","","3,4 %","1","0,1 %","0,0 %","0,0 %","IZ1ESM/IS0","924","0","PWR(W): 100","TRX:","Ant: 2x 13el. SP7GXP","ASL(m): 1743","",
"SO-LP 145 MHz","145 MHz","2","0","IU4FNO","JN63JF","123917","304","119049","297","","3,9 %","4","0,6 %","2,4 %","0,0 %","DK0VHF","935","0","PWR(W): 100","TRX:","Ant: 11 el F9FT","ASL(m): 1400","",
"SO-LP 145 MHz","145 MHz","3","0","9A6A","JN83GE","115968","269","111742","261","","3,6 %","1","0,5 %","24,5 %","0,0 %","OL4N","865","0","PWR(W): 100","TRX:","Ant: 8 el Yagi DK7ZB","ASL(m): 406","",
"SO-LP 145 MHz","145 MHz","4","0","OM6DN","JN99FI","110463","352","107251","343","","2,9 %","3","0,4 %","1,5 %","0,0 %","IK4LFI","819","0","PWR(W): 100","TRX:","Ant: 2x12 G0ksc","ASL(m): 950","",
"SO-LP 145 MHz","145 MHz","5","0","OK1PGS","JN69MX","112791","333","105960","314","","6,1 %","1","0,0 %","33,8 %","0,0 %","YT7W","902","0","PWR(W): 100","TRX:","Ant: 2x10el PA0MS","ASL(m): 719","",
"SO-LP 145 MHz","145 MHz","6","0","OK2AF","JN89AR","103692","321","100193","313","","3,4 %","1","0,0 %","38,0 %","0,0 %","IU4FNO","765","0","PWR(W): 100","TRX:","Ant: 7 el. DK7ZB","ASL(m): 735","",
"SO-LP 145 MHz","145 MHz","7","0","OM6ABF","JN99IA","100989","345","97480","337","","3,5 %","4","0,9 %","0,0 %","0,0 %","LZ6R","873","0","PWR(W): 100","TRX:","Ant: 6x6el.Y","ASL(m): 1218","",
"SO-LP 145 MHz","145 MHz","8","0","OK1NPF","JO70UK","94620","332","93549","328","","1,1 %","1","0,0 %","0,0 %","0,0 %","YT7W","815","0","PWR(W): 100","TRX:","Ant: 2*6el.","ASL(m): 671","",
"SO-LP 145 MHz","145 MHz","9","0","9A3AG","JN86HF","94546","272","89208","259","","5,6 %","2","1,1 %","17,0 %","0,0 %","DJ6QS","804","0","PWR(W): 100","TRX:","Ant: 4x19el","ASL(m): 263","",
"SO-LP 145 MHz","145 MHz","10","0","S53XX","JN75BX","89055","262","85567","253","","3,9 %","0","0,0 %","34,0 %","0,0 %","SV8PEX","835","0","PWR(W): 100","TRX:","Ant: 2x11el., 2x5el.","ASL(m): 800","",
"SO-LP 145 MHz","145 MHz","11","0","IZ7UMS","JN81GD","85691","172","84677","170","","1,2 %","1","0,3 %","0,0 %","0,0 %","OL9W","936","0","PWR(W): 100","TRX: ic9700","Ant: 12jxx","ASL(m): 190","",
"SO-LP 145 MHz","145 MHz","12","0","LZ2AB","KN23LA","92941","192","84659","176","","8,9 %","4","2,5 %","19,9 %","0,0 %","SN7L","1107","0","PWR(W): 100","TRX:","Ant: 2X17el.KLM","ASL(m): 800","",
"SO-LP 145 MHz","145 MHz","13","0","IK4LFI","JN54EL","83012","257","80807","249","","2,7 %","4","0,5 %","0,0 %","0,0 %","HA6W","871","0","PWR(W): 100","TRX: ICOM IC-7000","Ant: 9EL F9FT","ASL(m): 830","",
"SO-LP 145 MHz","145 MHz","14","0","S53O","JN86AT","83135","250","79465","241","","4,4 %","0","0,0 %","31,5 %","0,0 %","LZ6R","871","0","PWR(W): 20","TRX: TS590SG+lt2s","Ant: 2x16el dl6vu","ASL(m):","",
"SO-LP 145 MHz","145 MHz","15","0","OM3CQF","JN88RT","77691","295","72994","282","","6,0 %","2","0,0 %","20,2 %","0,0 %","LZ6R","917","0","PWR(W): 15","TRX:","Ant: F9FT 16el.","ASL(m): 622","",
"SO-LP 145 MHz","145 MHz","16","0","IK2AQZ","JN44SV","71370","236","69445","229","","2,7 %","4","0,6 %","0,0 %","0,0 %","SV8PEX","1019","0","PWR(W): 100","TRX: ICOM IC 9700","Ant: YAGI 10 EL.","ASL(m): 600","",
"SO-LP 145 MHz","145 MHz","17","0","OM2DT","JN88QS","68904","232","66743","226","","3,1 %","1","0,2 %","40,3 %","0,0 %","LZ6R","919","0","PWR(W): 50","TRX: FT847","Ant: DK7ZB 12 el.","ASL(m): 512","",
"SO-LP 145 MHz","145 MHz","18","0","IA5/IW2MXY","JN52CT","68016","225","65619","218","","3,5 %","9","3,8 %","0,0 %","0,0 %","TM5R","985","0","PWR(W): 100","TRX: icom 9700","Ant: 11 element f9ft xl","ASL(m): 150","",
"SO-LP 145 MHz","145 MHz","19","0","IZ3QFG","JN65CA","64926","200","64300","198","","1,0 %","1","0,5 %","6,1 %","0,0 %","SV8PEX","857","0","PWR(W): 100","TRX:","Ant: 8jxx2","ASL(m): 0","",
"SO-LP 145 MHz","145 MHz","20","0","9A2YF","JN85OO","63018","185","58832","175","","6,6 %","0","0,0 %","21,7 %","0,0 %","DK0VHF","884","0","PWR(W): 100","TRX: TS-2000","Ant: 11 el DL6WU","ASL(m): 250","",
"SO-LP 145 MHz","145 MHz","21","0","PA2TMS","JO23KC","61646","160","58056","153","","5,8 %","4","2,1 %","0,0 %","0,0 %","OL3Z","748","0","PWR(W): 100","TRX:","Ant: 12 el","ASL(m): 0","",
"SO-LP 145 MHz","145 MHz","22","0","SP/UR5AS","JO81KC","60371","195","57326","186","","5,0 %","0","0,0 %","26,3 %","0,0 %","IQ5NN","900","0","PWR(W): 100","TRX:","Ant: 2X10 el. YU7EF","ASL(m):","",
"SO-LP 145 MHz","145 MHz","23","0","OM6TX","JN99JK","51819","185","51659","184","","0,3 %","1","0,1 %","13,6 %","0,0 %","IZ0CLS","818","0","PWR(W): 100","TRX: IC-746PRO","Ant: 17elY","ASL(m): 636","",
"SO-LP 145 MHz","145 MHz","24","0","E78ZX","JN84LX","53663","169","50736","159","","5,5 %","1","0,4 %","52,2 %","0,0 %","DF0YY","861","0","PWR(W): 30","TRX:","Ant: 9el YU7EF","ASL(m): 900","",
"SO-LP 145 MHz","145 MHz","25","0","9A8A","JN86DH","51610","143","50506","140","","2,1 %","0","0,0 %","57,1 %","0,0 %","LZ6R","829","0","PWR(W): 100","TRX: TS-2000","Ant: Tonna 17 el.","ASL(m): 164","",
"SO-LP 145 MHz","145 MHz","26","0","HA8AR","KN06MQ","52384","132","50005","126","","4,5 %","0","0,0 %","28,6 %","0,0 %","IZ0CLS","830","0","PWR(W): 100","TRX:","Ant: 10 el DK7ZB","ASL(m): 86","",
"SO-LP 145 MHz","145 MHz","27","0","IV3KKW","JN66LF","50305","161","49676","157","","1,3 %","2","0,5 %","0,0 %","0,0 %","IQ9BF","933","0","PWR(W): 100","TRX:","Ant: 10 el. DK7ZB","ASL(m): 1180","",
"SO-LP 145 MHz","145 MHz","28","0","IZ3XBK","JN55MN","51515","193","49583","187","","3,8 %","4","1,6 %","0,0 %","0,0 %","SV8PEX","965","0","PWR(W): 100","TRX: IC-9700","Ant: DIAMOND 10 ELEMENTI","ASL(m): 800","",
"SO-LP 145 MHz","145 MHz","29","0","OE3GRA/P","JN77VN","51460","208","48384","200","","6,0 %","3","1,5 %","0,0 %","0,0 %","DR9A","565","0","PWR(W): 5","TRX: FT817","Ant: 10 El Yagi","ASL(m): 1780","",
"SO-LP 145 MHz","145 MHz","30","0","9A/OM5CC","JN73TT","50656","147","47904","139","","5,4 %","1","0,8 %","2,9 %","0,0 %","DR2X","879","0","PWR(W): 50","TRX: FT897d","Ant: 7el.DK7ZB","ASL(m): 119","",
