"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 70 MHz","70 MHz","1","0","GM4ZUK/P","IO86RW","18097","48","18097","48","","0,0 %","11","5,6 %","8,3 %","0,0 %","G4CWH/P","710","0","PWR(W): 160","TRX:","Ant: 8 ele Yagi","ASL(m): 455","",
"SO 70 MHz","70 MHz","2","0","G4ASR","IO81MX","10723","55","10528","54","","1,8 %","1","0,2 %","3,7 %","0,0 %","GM4ZUK/P","553","0","PWR(W): 150","TRX: IC-7300 + pa","Ant: 7el @ 80ft","ASL(m): 233","",
"SO 70 MHz","70 MHz","3","0","MW8R","IO82HP","8476","43","8239","42","","2,8 %","2","3,2 %","0,0 %","0,0 %","GM4ZUK/P","481","0","PWR(W): 150","TRX: IC7300 + amp","Ant: 7 ele","ASL(m): 285","",
"SO 70 MHz","70 MHz","4","0","G4CWH/P","IO90JO","5986","30","5230","27","","12,6 %","3","3,0 %","25,9 %","0,0 %","GM4ZUK/P","710","0","PWR(W): 166","TRX: K3 + HB XVTR + SSPA","Ant: 2x 2-over-2, 2x 5ele YU7EF","ASL(m): 235","",
"SO 70 MHz","70 MHz","5","0","G4CZB/P","IO92LH","4806","31","4806","31","","0,0 %","0","0,0 %","25,8 %","0,0 %","GM4ZUK/P","524","0","PWR(W): 50","TRX: IC7300","Ant: 6 ele LFA","ASL(m): 135","",
"SO 70 MHz","70 MHz","6","0","S51DI","JN76VL","4045","20","4045","20","","0,0 %","3","19,3 %","75,0 %","0,0 %","DK2EA","515","0","PWR(W): 100","TRX:","Ant: 8 el yagi, 7 el yagi","ASL(m): 240","",
"SO 70 MHz","70 MHz","7","0","M0BAO/P","IO80LV","4414","22","3741","21","","15,2 %","1","1,2 %","0,0 %","0,0 %","GM4CXM","568","0","PWR(W): 50","TRX: ICOM 7300","Ant: 5 Element Powabeam","ASL(m): 250","",
"SO 70 MHz","70 MHz","8","0","G4PFZ","JO02PP","3786","18","3635","17","","4,0 %","1","0,6 %","29,4 %","0,0 %","GM4ZUK/P","537","0","PWR(W): 50","TRX: FTdx101MP","Ant: 4 ele beam","ASL(m): 10","",
"SO 70 MHz","70 MHz","9","0","G4HGI","IO83PL","3604","24","3604","24","","0,0 %","5","3,0 %","0,0 %","0,0 %","GM4ZUK/P","385","0","PWR(W): 20","TRX: ft897d + tvtr","Ant: 5070OWA9","ASL(m): 110","",
"SO 70 MHz","70 MHz","10","0","HA5UA","JN97UM","3086","11","2678","10","","13,2 %","3","14,2 %","60,0 %","0,0 %","S57TW","441","0","PWR(W): 100","TRX:","Ant: 5el DK7ZB","ASL(m): 134","",
"SO 70 MHz","70 MHz","11","0","S57L","JN75NP","3036","14","2628","13","","13,4 %","1","10,1 %","69,2 %","0,0 %","YU7EF","460","0","PWR(W): 80","TRX: hm pa","Ant: 5el lfa","ASL(m):","",
"SO 70 MHz","70 MHz","12","0","MW0OMB","IO81HN","2474","17","2474","17","","0,0 %","0","0,0 %","0,0 %","0,0 %","G4G","331","0","PWR(W): 25","TRX: K3+MEON+PA","Ant: 4 Ele of 6 PwrAbeam","ASL(m): 140","",
"SO 70 MHz","70 MHz","13","0","HA8MV","KN06GU","2323","7","2323","7","","0,0 %","0","0,0 %","100,0 %","0,0 %","S57TW","483","0","PWR(W): 50","TRX:","Ant: HB9CV","ASL(m): 84","",
"SO 70 MHz","70 MHz","14","0","PE1EWR","JO11SL","2328","11","2244","10","","3,6 %","2","0,3 %","0,0 %","0,0 %","G4ASR","451","0","PWR(W): 35","TRX:","Ant: 6-6EPS6 4","ASL(m): 0","",
"SO 70 MHz","70 MHz","15","0","G4ILI","IO81WV","2615","18","2166","16","","17,2 %","0","0,0 %","0,0 %","0,0 %","GM4ZUK/P","562","0","PWR(W): 45","TRX: IC7300","Ant: 4 element yagi","ASL(m): 80","",
"SO 70 MHz","70 MHz","16","0","G8EQD","IO93GL","2117","19","1979","17","","6,5 %","2","4,1 %","0,0 %","0,0 %","GM4ZUK/P","391","0","PWR(W): 20","TRX: FT817 + Transverter","Ant: 3 ele","ASL(m): 0120","",
