"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","1","0","OM5AW","JN98AH","43501","121","40963","114","","5,8 %","5","3,0 %","72,8 %","0,0 %","IQ1KW","924","0","PWR(W): 500","TRX:","Ant: 2,4 Dish","ASL(m): 235","",
"SO 1.3 GHz","1.3 GHz","2","0","IK3GHY","JN65DM","33108","80","32109","77","","3,0 %","1","1,2 %","57,1 %","0,0 %","IT9DJF","817","0","PWR(W): 500","TRX: ic705 + trv e hmsspa","Ant: 3mt dish","ASL(m): 2","",
"SO 1.3 GHz","1.3 GHz","3","0","I4CIV","JN64GB","28524","63","27485","61","","3,6 %","1","0,5 %","62,3 %","0,0 %","DM5D","785","0","PWR(W): 300","TRX:","Ant: dish","ASL(m): 2","",
"SO 1.3 GHz","1.3 GHz","4","0","9A5M","JN95GO","26348","69","25607","68","","2,8 %","1","1,2 %","80,9 %","0,0 %","IQ1KW","895","0","PWR(W): 80","TRX:","Ant: 200cm dish","ASL(m): 91","",
"SO 1.3 GHz","1.3 GHz","5","0","OE3JPC","JN87EW","25625","85","24419","80","","4,7 %","3","0,4 %","70,0 %","0,0 %","IK7UXW","821","0","PWR(W): 10","TRX:","Ant: 2x56El. Yagi","ASL(m): 225","",
"SO 1.3 GHz","1.3 GHz","6","0","HA5UA","JN97UM","25953","74","24182","71","","6,8 %","2","0,8 %","80,3 %","0,0 %","DF0YY","727","0","PWR(W): 140","TRX:","Ant: 150cm","ASL(m): 134","",
"SO 1.3 GHz","1.3 GHz","7","0","OK1PGS","JN69MX","23583","80","22661","78","","3,9 %","0","0,0 %","62,8 %","0,0 %","YU1LA","808","0","PWR(W): 120","TRX:","Ant: 38el Y.","ASL(m): 675","",
"SO 1.3 GHz","1.3 GHz","8","0","YU1LA","KN04FR","21556","50","20684","48","","4,0 %","0","0,0 %","77,1 %","0,0 %","OK2A","853","0","PWR(W): 200","TRX:","Ant: SHF 78 el yagi","ASL(m): 138","",
"SO 1.3 GHz","1.3 GHz","9","0","OE5VRL","JN78DK","20113","60","19190","58","","4,6 %","2","1,3 %","56,9 %","0,0 %","LZ2T","922","0","PWR(W): 10","TRX:","Ant: 3 m Parabol","ASL(m): 883","",
"SO 1.3 GHz","1.3 GHz","10","0","DK1KC/P","JN58QH","17589","52","17326","51","","1,5 %","1","0,2 %","51,0 %","0,0 %","HA6W","674","0","PWR(W): 100","TRX:","Ant: 2x51 El","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","11","0","DL3LAR","JO52GE","15170","61","15170","61","","0,0 %","0","0,0 %","29,5 %","0,0 %","SM6VTZ","695","0","PWR(W): 150","TRX:","Ant: 1.2m Dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","12","0","DD5DX","JO61CA","15619","77","15056","74","","3,6 %","1","0,6 %","0,0 %","0,0 %","HG7F","606","0","PWR(W): 180","TRX:","Ant: 56ele Yagie","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","13","0","DG5BRE","JO62VM","14595","57","14364","55","","1,6 %","1","0,2 %","9,1 %","0,0 %","SM6VTZ","667","0","PWR(W): 10","TRX:","Ant: 1,5m Dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","14","0","DL5EBS","JO31NH","14056","63","14056","63","","0,0 %","1","0,1 %","20,6 %","0,0 %","SM6VTZ","841","0","PWR(W): 200","TRX:","Ant: 2m Drahtgitterspiegel","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","15","0","DK1RS","JO60MM","13662","66","13239","65","","3,1 %","1","2,9 %","1,5 %","0,0 %","S50C","490","0","PWR(W): 25","TRX:","Ant: 36el. Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","16","0","S50TA","JN76HD","13335","45","12993","42","","2,6 %","0","0,0 %","78,6 %","0,0 %","IQ1KW","603","0","PWR(W): 50","TRX: TRV","Ant: 50","ASL(m): 300","",
"SO 1.3 GHz","1.3 GHz","17","0","OE5LHM/P","JN78CN","14075","55","12316","50","","12,5 %","2","2,2 %","18,0 %","0,0 %","DK9TF","588","0","PWR(W): 10","TRX:","Ant: 4x23el","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","18","0","9A6C","JN73XS","13658","34","12179","31","","10,8 %","0","0,0 %","96,8 %","0,0 %","OK1KUO","720","0","PWR(W): 50","TRX:","Ant: 70 el","ASL(m): 490","",
"SO 1.3 GHz","1.3 GHz","19","0","IT9DJF","JM68IE","13310","21","12032","19","","9,6 %","11","57,3 %","5,3 %","0,0 %","EA5TT","1149","0","PWR(W): 300","TRX: IC9700 + HM TRV","Ant: 120 CM MESH DISH PRIME FOCUS","ASL(m): 75","",
"SO 1.3 GHz","1.3 GHz","20","0","DK5QN","JO42EA","11403","35","11403","35","","0,0 %","0","0,0 %","45,7 %","0,0 %","OM5AW","802","0","PWR(W): 120","TRX:","Ant: 70ele","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","21","0","DL6SH","JN48SW","12152","35","11240","33","","7,5 %","0","0,0 %","15,2 %","0,0 %","OM3RRC","644","0","PWR(W): 300","TRX:","Ant: 180cm Spiegel","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","22","0","OK2BPN","JN89UF","11381","43","11172","42","","1,8 %","0","0,0 %","90,5 %","0,0 %","DL6SH","596","0","PWR(W): 50","TRX:","Ant: 4x48 el. G3JVL","ASL(m): 330","",
"SO 1.3 GHz","1.3 GHz","23","0","DH1AKY/P","JO50JP","12632","53","11165","49","","11,6 %","0","0,0 %","38,8 %","0,0 %","HG7F","671","0","PWR(W): 170","TRX:","Ant: Longyagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","24","0","LZ6R","KN33FF","11197","33","10663","31","","4,8 %","0","0,0 %","32,3 %","0,0 %","RC6AO","971","0","PWR(W): 50","TRX:","Ant: 2x55el. F9FT","ASL(m): 550","",
"SO 1.3 GHz","1.3 GHz","25","0","SP7VVB","JO91VQ","11047","28","10569","27","","4,3 %","0","0,0 %","81,5 %","0,0 %","9A0V","724","0","PWR(W): 20","TRX:","Ant: 200cm Dish","ASL(m): 227","",
"SO 1.3 GHz","1.3 GHz","26","0","9A5CCM","JN74UT","11475","41","10457","38","","8,9 %","0","0,0 %","44,7 %","0,0 %","OK2A","659","0","PWR(W): 10","TRX:","Ant: 52 el. Yagi","ASL(m): 1646","",
"SO 1.3 GHz","1.3 GHz","27","0","DK5EZ","JO31NH","11086","44","10142","42","","8,5 %","0","0,0 %","19,0 %","0,0 %","OL9W","811","0","PWR(W): 200","TRX:","Ant: Parabolspgl. 200cm m. Breitbandfeed","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","28","0","DL8LR","JN39PN","10711","47","9920","45","","7,4 %","2","2,0 %","0,0 %","0,0 %","G4ODA","628","0","PWR(W): 80","TRX:","Ant: 4x12El. Gruppe","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","29","0","ON4CJQ/P","JO20KW","10961","31","9210","28","","16,0 %","0","0,0 %","7,1 %","0,0 %","OK1KKL","733","0","PWR(W): 100","TRX:","Ant: 67el yagi","ASL(m): 78","",
"SO 1.3 GHz","1.3 GHz","30","0","YO5AVN","KN17WW","9149","21","9149","21","","0,0 %","0","0,0 %","100,0 %","0,0 %","OK1KKL","690","0","PWR(W): 80","TRX:","Ant: 55el F9FT","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","31","0","9A6A","JN75WT","9682","41","8594","35","","11,2 %","0","0,0 %","80,0 %","0,0 %","IK7UXW","599","0","PWR(W): 80","TRX: ICOM 9700","Ant: 28 el Yagi","ASL(m): 100","",
"SO 1.3 GHz","1.3 GHz","32","0","OK4DJ","JN89DO","8275","40","8275","40","","0,0 %","0","0,0 %","42,5 %","0,0 %","IK3GHY","545","0","PWR(W): 10","TRX:","Ant: YU1CF 36el Yagi","ASL(m): 756","",
"SO 1.3 GHz","1.3 GHz","33","0","HB9BAT/P","JN37SG","8957","22","8188","21","","8,6 %","4","2,9 %","52,4 %","0,0 %","OM3RRC","833","0","PWR(W): 50","TRX:","Ant: 23 El. Yagi","ASL(m): 1396","",
"SO 1.3 GHz","1.3 GHz","34","0","OM5CM","JN98DF","9130","42","8185","39","","10,4 %","0","0,0 %","94,9 %","0,0 %","DF0YY","598","0","PWR(W): 10","TRX: IC9700","Ant: 55el.F9FT","ASL(m): 165","",
"SO 1.3 GHz","1.3 GHz","35","0","DF2FQ","JN58UB","9200","34","7964","30","","13,4 %","0","0,0 %","33,3 %","0,0 %","OL9W","502","0","PWR(W): 50","TRX:","Ant: 2x13-Ele","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","36","0","DJ6OL","JO52AP","8311","34","7912","33","","4,8 %","0","0,0 %","30,3 %","0,0 %","OL9W","671","0","PWR(W): 80","TRX:","Ant: 67 Ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","37","0","DC8RI","JN68JQ","8051","30","7789","29","","3,3 %","0","0,0 %","0,0 %","0,0 %","IQ1KW","619","0","PWR(W): 150","TRX:","Ant: 2x27Elm","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","38","0","DK9TF","JO31NF","8274","33","7484","32","","9,5 %","0","0,0 %","34,4 %","0,0 %","OL9W","810","0","PWR(W): 150","TRX:","Ant: 2m dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","39","0","SM6VTZ","JO58UJ","8923","12","7385","10","","17,2 %","0","0,0 %","100,0 %","0,0 %","OK2A","893","0","PWR(W): 200","TRX:","Ant: 1.8m","ASL(m): 164","",
"SO 1.3 GHz","1.3 GHz","40","0","IN3IIC","JN63GN","7335","22","7083","21","","3,4 %","0","0,0 %","19,0 %","0,0 %","OK1KKL","811","0","PWR(W): 20","TRX: TWR","Ant: DIRETTIVA","ASL(m): 1470","",
"SO 1.3 GHz","1.3 GHz","41","0","DH5NAH","JN58RJ","7840","24","6888","21","","12,1 %","0","0,0 %","0,0 %","0,0 %","IQ1KW","529","0","PWR(W): 10","TRX:","Ant: 36 Ele","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","42","0","DL1HSF","JO61FR","7286","41","6653","39","","8,7 %","1","2,1 %","0,0 %","0,0 %","OM5AW","551","0","PWR(W): 100","TRX:","Ant: 120cm dish","ASL(m):","",
