"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","LL Squares","CC LL Squares","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 50 MHz","50 MHz","1","0","9A6A","JN75MM","0","0","2735058","75","","","","0,0 %","19","0,3 %","0,0 %","0,0 %","DP0GVN","13044","0","PWR(W): 100","TRX:","Ant: 5 el. Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","2","0","IV3KKW","JN66MM","0","0","519618","35","","","","0,0 %","3","0,1 %","0,0 %","0,0 %","V51WW","7240","0","PWR(W): 500","TRX:","Ant: 6el. DK7ZB","ASL(m):","",
"SO 50 MHz","50 MHz","3","0","IK2RHE","JN45MM","0","0","441738","31","","","","0,0 %","3","0,1 %","0,0 %","0,0 %","DP0GVN","12981","0","PWR(W): 80","TRX:","Ant: 4 el YU7EF","ASL(m):","",
"SO 50 MHz","50 MHz","4","0","E7AR","JN94MM","0","0","387430","20","","","","0,0 %","8","0,9 %","0,0 %","0,0 %","V51WW","7009","0","PWR(W): 90","TRX:","Ant: 5 ele YU7EF","ASL(m):","",
"SO 50 MHz","50 MHz","5","0","IK5AMB","JN53MM","0","0","179490","15","","","","0,0 %","2","0,2 %","0,0 %","0,0 %","V51WW","6922","0","PWR(W): 100","TRX:","Ant: 6 ELEMENTS HM","ASL(m):","",
"SO 50 MHz","50 MHz","6","0","DL6NBC","JN59MM","0","0","178794","11","","","","0,0 %","3","0,4 %","0,0 %","0,0 %","DP0GVN","13441","0","PWR(W): 230","TRX:","Ant: HB9CV, 16m AGL","ASL(m):","",
"SO 50 MHz","50 MHz","7","0","SQ6PLH","JO80MM","0","0","106128","18","","","","0,0 %","12","3,4 %","0,0 %","0,0 %","IM0FMP","1374","0","PWR(W): 100","TRX:","Ant: 5el Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","8","0","SF6F","JO67MM","0","0","72620","13","","","","0,0 %","7","2,2 %","0,0 %","0,0 %","S50A","1342","0","PWR(W): 200","TRX:","Ant: 2X7 el","ASL(m):","",
"SO 50 MHz","50 MHz","9","0","OE4WHG","JN87MM","0","0","52350","15","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","IK2RHE","651","0","PWR(W): 200","TRX:","Ant: 5el. LFA","ASL(m):","",
"SO 50 MHz","50 MHz","10","0","9A5CW","JN65MM","0","0","44190","12","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","9H1TX","1125","0","PWR(W): 100","TRX:","Ant: 5el.JXX","ASL(m):","",
"SO 50 MHz","50 MHz","11","0","DL1EAL","JO31MM","0","0","7390","13","","","","0,0 %","11","15,0 %","0,0 %","0,0 %","DM4MP","261","0","PWR(W): 80","TRX:","Ant: Random Wire","ASL(m):","",
"SO 50 MHz","50 MHz","12","0","I2FUM","JN45MM","0","0","1124","10","","","","0,0 %","4","17,8 %","0,0 %","0,0 %","HB9CXZ","112","0","PWR(W): 80","TRX:","Ant: 3 elem.","ASL(m):","",
"MO 50 MHz","50 MHz","1","0","IQ5MS","JN54MM","0","0","4170144","83","","","","0,0 %","32","0,3 %","0,0 %","0,0 %","DP0GVN","12890","0","PWR(W): 100","TRX:","Ant: Yagi 7el","ASL(m):","",
"6H 50 MHz","50 MHz","1","0","I2KQE","JM49MM","0","0","5178985","42","","","","0,0 %","21","2,1 %","0,0 %","0,0 %","LU1WFU","12103","0","PWR(W): 500","TRX:","Ant: 5 el yagi","ASL(m):","",
"6H 50 MHz","50 MHz","2","0","S59A","JN76MM","0","0","1870908","44","","","","0,0 %","12","0,6 %","0,0 %","0,0 %","DP0GVN","13154","0","PWR(W): 100","TRX:","Ant: 2x8 el","ASL(m):","",
"6H 50 MHz","50 MHz","3","0","H25A","KM65MM","0","0","593892","16","","","","0,0 %","13","6,4 %","0,0 %","0,0 %","CE8EIO","13983","0","PWR(W): 400","TRX:","Ant: 6el yagi","ASL(m):","",
"6H 50 MHz","50 MHz","4","0","IW2CAM","JN45MM","0","0","464720","25","","","","0,0 %","2","0,0 %","0,0 %","0,0 %","DP0GVN","12981","0","PWR(W): 250","TRX:","Ant: 4 ele Yagi","ASL(m):","",
"6H 50 MHz","50 MHz","5","0","EI8KN","IO62MM","0","0","144625","18","","","","0,0 %","13","3,2 %","0,0 %","0,0 %","9A6A","1774","0","PWR(W): 100","TRX:","Ant: 5 elements","ASL(m):","",
"6H 50 MHz","50 MHz","6","0","SM4POB","JP70MM","0","0","40630","6","","","","0,0 %","2","5,5 %","0,0 %","0,0 %","I4JED","1799","0","PWR(W): 200","TRX:","Ant: 4el LFA-Quad","ASL(m):","",
"6H 50 MHz","50 MHz","7","0","IK3SSG","JN55MM","0","0","21222","11","","","","0,0 %","1","0,7 %","0,0 %","0,0 %","OE4WHG","510","0","PWR(W): 70","TRX:","Ant: MomoBeam 5el. Yagi","ASL(m):","",
